改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2023.01,U,G10H 2220/00,G10H 2220/00,Input/output interfacing specifically adapted for electrophonic musical tools or instruments,Input/output interfacing specifically adapted for electrophonic musical tools or instruments,Compilation of Changes
2023.01,U,G10H 2220/155,G10H 2220/155,User input interfaces for electrophonic musical instruments (graphical user interfaces specifically adapted for electrophonic musical instruments G10H2220/091; input means in general G06F3/00),User input interfaces for electrophonic musical instruments (graphical user interfaces specifically adapted for electrophonic musical instruments G10H2220/091; input means in general G06F3/00),Compilation of Changes
2023.01,,G10H 2220/441,G10H 2220/441,"Image sensing, i.e. capturing images or optical patterns for musical purposes or musical control purposes (image analysis, inspection, positioning or tracking G06T7/00, pattern recognitionrecognising music G06K9/00notations G06V30/304)","Image sensing, i.e. capturing images or optical patterns for musical purposes or musical control purposes (image analysis, inspection, positioning or tracking G06T7/00, pattern recognitionrecognising music G06K9/00notations G06V30/304)",Compilation of Changes
2023.01,M,G10K 1/00,G10K 1/00,"Devices in which sound is produced by striking a resonating body, e.g. bells, chimes, gong or gongs (combinations with clocks or watches G04B, G04C; carillons G10F1/10; {for percussion instruments G10D13/00}multi-toned musical instruments G10D13/08; automatic carillons G10F1/10)","Devices in which sound is produced by striking a resonating body, e.g. bells, chimes, gong or gongs (combinations with clocks or watches G04B, G04C; carillons G10F1/10; {for percussion instruments G10D13/00}multi-toned musical instruments G10D13/08; automatic carillons G10F1/10)",Compilation of Changes
2023.01,U,G10K 1/06,G10K 1/06,"the resonating devices having the shape of a bell, plate, rod, or tube (bells for towers G10K1/28)","the resonating devices having the shape of a bell, plate, rod, or tube (bells for towers G10K1/28)",Compilation of Changes
2023.01,M,G10K 1/062,G10K 1/062,electrically operated {(self-interrupting relays H01H51/34)},electrically operated {(self-interrupting relays H01H51/34)},Compilation of Changes
2023.01,U,G10K 1/063,G10K 1/063,the sounding member being a bell,the sounding member being a bell,Compilation of Changes
2023.01,U,G10K 1/064,G10K 1/064,Operating or striking mechanisms therefor,Operating or striking mechanisms therefor,Compilation of Changes
2023.01,M,G10K 1/065,G10K 1/065,for timed or repeated operation {(alarm-clocks G04C21/00)},for timed or repeated operation {(alarm-clocks G04C21/00)},Compilation of Changes
2023.01,U,G10K 1/07,G10K 1/07,mechanically operated; Hand bells; Bells for animals,mechanically operated; Hand bells; Bells for animals,Compilation of Changes
2023.01,U,G10K 1/072,G10K 1/072,Operating or striking mechanisms therefor,Operating or striking mechanisms therefor,Compilation of Changes
